date,unique_customers
2025-04-07,19
2025-04-08,20
2025-04-09,15
2025-04-10,12
2025-04-11,17
2025-04-12,18
2025-04-13,17
2025-04-14,19
2025-04-15,27
2025-04-16,27
2025-04-17,20
2025-04-18,31
2025-04-19,19
2025-04-20,32
2025-04-21,26
2025-04-22,32
2025-04-23,31
2025-04-24,34
2025-04-25,34
2025-04-26,24
2025-04-27,30
2025-04-28,29
2025-04-29,30
2025-04-30,31
2025-05-01,30
2025-05-02,43
2025-05-03,45
2025-05-04,32
2025-05-05,39
2025-05-06,27
2025-05-07,43
2025-05-08,42
2025-05-09,27
2025-05-10,40
2025-05-11,35
2025-05-12,43
2025-05-13,42
2025-05-14,26
2025-05-15,43
2025-05-16,34
2025-05-17,30
2025-05-18,36
2025-05-19,34
2025-05-20,41
2025-05-21,41
2025-05-22,44
2025-05-23,37
2025-05-24,30
2025-05-25,38
2025-05-26,33
2025-05-27,40
2025-05-28,33
2025-05-29,40
2025-05-30,36
2025-05-31,44
2025-06-01,37
2025-06-02,35
2025-06-03,47
2025-06-04,39
2025-06-05,45
2025-06-06,52
2025-06-07,35
2025-06-08,43
2025-06-09,39
2025-06-10,48
2025-06-11,41
2025-06-12,38
2025-06-13,48
2025-06-14,49
2025-06-15,43
2025-06-16,40
2025-06-17,33
2025-06-18,48
2025-06-19,55
2025-06-20,39
2025-06-21,44
2025-06-22,29
2025-06-23,38
2025-06-24,50
2025-06-25,45
2025-06-26,41
2025-06-27,38
2025-06-28,42
2025-06-29,50
2025-06-30,51
2025-07-01,42
2025-07-02,49
2025-07-03,45
2025-07-04,44
2025-07-05,49
2025-07-06,37
2025-07-07,41
2025-07-08,46
2025-07-09,49
2025-07-10,55
2025-07-11,42
2025-07-12,61
2025-07-13,41
2025-07-14,52
2025-07-15,49
2025-07-16,43
2025-07-17,46
2025-07-18,51
2025-07-19,35
2025-07-20,51
2025-07-21,36
2025-07-22,58
2025-07-23,44
2025-07-24,55
2025-07-25,38
2025-07-26,51
2025-07-27,47
2025-07-28,45
2025-07-29,46
2025-07-30,55
2025-07-31,39
2025-08-01,47
2025-08-02,56
2025-08-03,45
2025-08-04,38
2025-08-05,49
2025-08-06,60
2025-08-07,48
2025-08-08,46
2025-08-09,50
2025-08-10,39
2025-08-11,60
2025-08-12,42
2025-08-13,52
2025-08-14,39
2025-08-15,55
2025-08-16,53
2025-08-17,39
2025-08-18,54
2025-08-19,55
2025-08-20,43
2025-08-21,57
2025-08-22,64
2025-08-23,62
2025-08-24,62
2025-08-25,61
2025-08-26,54
2025-08-27,61
2025-08-28,44
2025-08-29,60
2025-08-30,75
2025-08-31,49
2025-09-01,49
2025-09-02,50
2025-09-03,37
2025-09-04,56
2025-09-05,58
2025-09-06,42
2025-09-07,59
2025-09-08,68
2025-09-09,68
2025-09-10,72
2025-09-11,58
2025-09-12,54
2025-09-13,36
2025-09-14,78
2025-09-15,66
2025-09-16,54
2025-09-17,54
2025-09-18,64
2025-09-19,58
2025-09-20,55
2025-09-21,52
2025-09-22,58
2025-09-23,59
2025-09-24,72
2025-09-25,51
2025-09-26,63
2025-09-27,55
2025-09-28,54
2025-09-29,64
2025-09-30,66
2025-10-01,62
2025-10-02,57
2025-10-03,50
2025-10-04,55
2025-10-05,57
2025-10-06,47
2025-10-07,74
2025-10-08,71
2025-10-09,56
2025-10-10,57
2025-10-11,69
2025-10-12,71
2025-10-13,77
2025-10-14,61
2025-10-15,58
2025-10-16,47
2025-10-17,52
2025-10-18,48
2025-10-19,68
2025-10-20,68
2025-10-21,55
2025-10-22,52
2025-10-23,68
2025-10-24,52
2025-10-25,71
2025-10-26,64
2025-10-27,55
2025-10-28,48
2025-10-29,58
2025-10-30,66
2025-10-31,51
2025-11-01,59
2025-11-02,61
2025-11-03,60
2025-11-04,74
2025-11-05,55
2025-11-06,56
2025-11-07,55
2025-11-08,54
2025-11-09,67
2025-11-10,49
2025-11-11,61
2025-11-12,55
2025-11-13,61
2025-11-14,56
